,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
3718,CSS1103121520334134087,33,30,28,47,65,20,4,1,1,0,0,0,0,0,1,2,1,1,0,0,1,0,1,1,2,3,6,5,4,6,36,29,71,66,5
3719,CSS1103111210754143894,25,24,23,41,71,35,9,2,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,3,3,6,4,2,2,35,31,75,64,0
3720,CSS1103111210754142976,24,23,22,40,71,34,11,3,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,3,3,6,4,2,2,34,31,74,66,5
3721,CSS1103111210754112475,24,23,23,41,74,32,9,3,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,3,3,6,4,2,2,34,31,74,65,0
3722,CSS1103111180774101327,24,23,21,39,72,39,10,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,3,6,4,2,2,34,30,73,67,0
3723,CSS1103111180754104400,44,38,29,40,52,21,6,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,3,7,4,2,2,33,30,74,68,2
3724,CSS1103111090544109078,41,39,33,46,42,13,7,3,3,3,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,2,4,4,3,10,34,29,66,73,8
3725,CSS1103111090504132096,46,42,34,44,39,12,5,5,3,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2,2,5,4,3,7,34,30,68,71,5
3726,CSS1103111070664105772,29,28,25,41,67,29,5,2,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,3,5,5,3,5,35,28,74,66,1
3727,CSS1103111070554133089,28,25,20,26,25,9,6,2,3,56,30,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,9,36,29,66,70,2
3728,CSS1103110090564131921,40,36,30,38,48,24,12,2,1,1,0,0,0,0,1,2,1,1,1,0,0,1,1,1,2,3,6,4,2,2,38,34,81,53,2
3729,CSS1103101460294148007,42,38,32,48,51,10,4,3,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,5,4,3,7,37,33,77,57,5
3730,CSS1103101350584115193,24,24,23,42,72,32,9,2,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,3,6,4,3,2,33,30,73,69,0
