,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
3497,CSS1006161320804115382,34,32,28,45,59,20,8,2,1,2,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,2,4,3,3,10,33,31,71,67,5
3498,CSS1006161260854116897,40,36,31,46,51,16,4,3,3,2,0,0,0,0,1,1,1,1,0,1,0,1,1,1,2,2,4,2,3,12,33,30,65,72,6
3499,CSS1006161180864132491,35,32,29,45,53,15,10,7,4,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,2,5,4,3,8,36,31,70,65,2
3500,CSS1006161120874112489,44,39,33,45,42,12,9,4,1,1,2,0,0,0,1,1,1,1,0,0,0,1,1,1,2,2,5,4,3,8,36,32,70,66,5
3501,CSS1006160180694138373,26,24,22,32,52,39,25,5,3,2,0,0,0,0,1,2,1,1,0,1,0,1,1,1,2,3,7,4,2,2,36,32,79,56,1
3502,CSS1006160180694102054,45,39,31,39,38,13,14,3,1,7,0,0,0,0,1,2,1,1,0,1,0,1,1,1,2,3,7,4,2,2,36,32,79,56,5
3503,CSS1006151460624145312,34,30,23,31,42,32,22,11,3,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,3,3,7,4,2,4,34,30,67,72,1
3504,CSS1006151121184152430,43,38,31,43,46,8,3,2,3,10,3,0,0,0,1,1,1,1,1,1,0,1,1,1,2,2,4,3,3,10,35,30,66,71,2
3505,CSS1006151091174130008,51,46,38,47,25,2,1,3,2,15,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,2,4,3,3,11,35,31,69,67,2
3506,CSS1006130181084128419,63,54,40,43,23,4,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,3,2,4,3,3,8,34,30,74,64,3
